OGMEACPD	['']
ALAt4	['SCO7197']
PPDK	['SCO0208', 'SCO2494']
MI1PS2	['SCO3243', 'SCO3899', 'SCO6573']
ADK1	['SCO4723']
CDAabc	[['SCO3223', 'SCO3224'], 'SCO3235']
HEX7	['SCO1957']
OGMEACPR	['SCO0330', 'SCO1345', 'SCO1346', 'SCO1815', 'SCO1831', 'SCO4501', 'SCO4681']
FRUpts	[['SCO1391', 'SCO3196', 'SCO5841']]
EAR90y	['SCO1814']
APG3PAT181	['']
APG3PAT180	['']
OCOAT1	[['SCO6702', 'SCO6703']]
NO3t7	['SCO2959', 'SCO0213']
AMMQLT9	['SCO4556', 'SCO5940']
PINOS120	['SCO1527']
UAAGDS	['SCO2089']
3HADi150	['']
GLCP2	['SCO5444']
RNDR3c	[['SCO5225', 'SCO5226'], 'SCO5805']
REDS20	['']
CLPNSai170	['SCO7081']
ACONMT	['SCO3132']
DUTPDP	['SCO5868']
DABAACT	['SCO1864']
IPMD	['SCO5522']
NMNPt	['SCO1442']
23PDE4e	['SCO2015']
FMNRx2	['SCO3295', 'SCO6102']
DHDPRy	['SCO5739']
PGCD	['SCO5515']
3OXCOAT	['SCO6701', 'SCO6967', 'SCO3079', 'SCO6731']
SALCpts	['']
TPI	['SCO0578', 'SCO1945']
EX_bhb_LPAREN_e_RPAREN_	['']
ORNDC	['SCO6035']
APG3PAT161	['']
APG3PAT160	['']
AGPATi140	['SCO0920', 'SCO1085', 'SCO1228', 'SCO1566', 'SCO1759', 'SCO2122']
CLPNSIIi180	['SCO1389']
EX_nmn_LPAREN_e_RPAREN_	['']
PDE4	['SCO6075']
PDE1	['SCO6075']
CYTK1	['SCO1760']
CYTK2	['SCO1760']
TRPTRS	['SCO3334', 'SCO4839']
AGPAT160	['SCO0920', 'SCO1085', 'SCO1228', 'SCO1566', 'SCO1759', 'SCO2122']
AGPAT161	['SCO0920', 'SCO1085', 'SCO1228', 'SCO1566', 'SCO1759', 'SCO2122']
L_DASH_LACD4	['SCO0763', ['SCO0815', 'SCO0816', 'SCO0817']]
GLGCc	['SCO0393']
NODOy	['SCO7428', 'SCO7094']
3OASai170	['SCO0548', 'SCO2390', 'SCO1266']
DHNPA2r	['SCO3400']
NTD12e	['SCO4152']
PAPA150	['']
FEOXAMBR1	['']
FEOXAMBR3	['']
FEOXAMBR2	['']
EX_4abut_LPAREN_e_RPAREN_	['']
DCTPD	['SCO3678']
REDS26	['SCO5892']
3HAD130	['']
OGMEACPS2	['SCO0548', 'SCO2390', 'SCO1266']
MCTP1A	['SCO3847', 'SCO5301', 'SCO2608', 'SCO2090']
ENO	['SCO3096', 'SCO7638']
CD2t4	['SCO0776', 'SCO1310', 'SCO2772', 'SCO6751']
DASYNai170	['SCO5628']
REDS23	['SCO5892']
MGCH	['']
ASO3t8	['SCO7367', 'SCO3577', 'SCO3578']
G1SAT	['SCO0401', 'SCO4469']
HEPTT	['SCO4583']
ARGAGMt7	['SCO6528']
AKGDH2	[['SCO4594', 'SCO4595'], ['SCO0681', 'SCO6269', 'SCO6270']]
ACOAD6f	['SCO1690', 'SCO2774', 'SCO6787']
ALCD19y	['SCO4945', 'SCO4271']
EX_acgam_LPAREN_e_RPAREN_	['']
ACPPAT170	['']
G5SD	['SCO2585']
PACCOATE	['SCO7470']
EX_23cump_LPAREN_e_RPAREN_	['']
RBK_L1	['']
EX_lipoate_LPAREN_e_RPAREN_	['']
LYSDC	['SCO7311']
PNTOt4	['SCO5229']
ADNCYC	['SCO4928']
AMPTASECG	['SCO2018', 'SCO2635', 'SCO2643']
PDH	['SCO2183', 'SCO2371', 'SCO7124', ['SCO1269', 'SCO1270', 'SCO3815'], ['SCO0884', 'SCO3829'], 'SCO2180', 'SCO4919']
GALUi	['SCO3182']
INDOLEt2r	['']
CLPNS150	['SCO7081']
DALAt2	['SCO2914']
